source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2025-08-01 02:00:00,ADAUSD,0.739,0.74,0.697,0.715,4077663.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-02 02:00:00,ADAUSD,0.715,0.728,0.685,0.697,2219245.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-03 02:00:00,ADAUSD,0.699,0.731,0.688,0.728,1651158.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-04 02:00:00,ADAUSD,0.727,0.76,0.725,0.756,1390980.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-05 02:00:00,ADAUSD,0.756,0.76,0.714,0.726,2206236.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-06 02:00:00,ADAUSD,0.725,0.748,0.711,0.741,1842300.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-07 02:00:00,ADAUSD,0.742,0.79,0.735,0.787,2178750.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-08 02:00:00,ADAUSD,0.788,0.807,0.776,0.791,3934851.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-09 02:00:00,ADAUSD,0.791,0.822,0.79,0.803,3730557.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-10 02:00:00,ADAUSD,0.804,0.835,0.785,0.802,4060179.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-11 02:00:00,ADAUSD,0.8,0.833,0.767,0.774,3010875.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-12 02:00:00,ADAUSD,0.773,0.857,0.766,0.842,6173977.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-13 02:00:00,ADAUSD,0.84,0.922,0.833,0.905,9773714.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-14 02:00:00,ADAUSD,0.904,1.02,0.879,0.927,33332471.89999996,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-15 02:00:00,ADAUSD,0.927,0.964,0.911,0.946,14409217.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-16 02:00:00,ADAUSD,0.946,0.977,0.903,0.921,7937125.10000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-17 02:00:00,ADAUSD,0.921,0.987,0.905,0.961,7374640.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-18 02:00:00,ADAUSD,0.961,0.968,0.892,0.923,7482420.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-19 02:00:00,ADAUSD,0.923,0.955,0.844,0.847,14437462.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-20 02:00:00,ADAUSD,0.846,0.892,0.838,0.881,5574521.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-21 02:00:00,ADAUSD,0.881,0.893,0.847,0.852,4475719.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-22 02:00:00,ADAUSD,0.852,0.942,0.822,0.93,11198115.20000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-23 02:00:00,ADAUSD,0.932,0.939,0.891,0.914,6089344.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-24 02:00:00,ADAUSD,0.913,0.964,0.889,0.908,10818585.40000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-25 02:00:00,ADAUSD,0.909,0.929,0.831,0.839,9846986.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-26 02:00:00,ADAUSD,0.836,0.875,0.83,0.867,3499545.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-27 02:00:00,ADAUSD,0.868,0.878,0.848,0.85,2560386.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-28 02:00:00,ADAUSD,0.85,0.88,0.843,0.859,2046435.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-29 02:00:00,ADAUSD,0.858,0.866,0.81,0.827,2986686.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-30 02:00:00,ADAUSD,0.826,0.844,0.806,0.823,2015757.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-08-31 02:00:00,ADAUSD,0.822,0.839,0.81,0.812,1433924.3,1d,2026-01-21T19:17:26.607396
