source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2023-06-01 02:00:00,ADAUSD,0.375,0.376,0.361,0.365,8347008.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-02 02:00:00,ADAUSD,0.365,0.38,0.362,0.378,8909882.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-03 02:00:00,ADAUSD,0.379,0.379,0.373,0.376,3102922.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-04 02:00:00,ADAUSD,0.376,0.383,0.375,0.378,4300239.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-05 02:00:00,ADAUSD,0.377,0.379,0.347,0.352,11435686.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-06 02:00:00,ADAUSD,0.351,0.357,0.337,0.353,17694947.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-07 02:00:00,ADAUSD,0.353,0.353,0.318,0.322,21295664.99999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-08 02:00:00,ADAUSD,0.322,0.331,0.32,0.323,10973806.10000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-09 02:00:00,ADAUSD,0.323,0.324,0.29,0.295,42527405.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-10 02:00:00,ADAUSD,0.295,0.295,0.22,0.275,99475321.39999992,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-11 02:00:00,ADAUSD,0.275,0.28,0.259,0.272,34747739.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-12 02:00:00,ADAUSD,0.272,0.286,0.266,0.275,28341015.99999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-13 02:00:00,ADAUSD,0.275,0.289,0.269,0.275,16137999.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-14 02:00:00,ADAUSD,0.275,0.277,0.257,0.263,12580545.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-15 02:00:00,ADAUSD,0.263,0.266,0.252,0.262,18424036.00000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-16 02:00:00,ADAUSD,0.261,0.267,0.254,0.263,13373379.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-17 02:00:00,ADAUSD,0.263,0.273,0.261,0.266,12107693.40000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-18 02:00:00,ADAUSD,0.267,0.269,0.259,0.261,7254395.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-19 02:00:00,ADAUSD,0.261,0.264,0.257,0.263,7382174.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-20 02:00:00,ADAUSD,0.263,0.271,0.253,0.271,16525039.79999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-21 02:00:00,ADAUSD,0.271,0.289,0.269,0.286,18544523.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-22 02:00:00,ADAUSD,0.286,0.305,0.286,0.29,21829225.40000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-23 02:00:00,ADAUSD,0.29,0.303,0.287,0.297,11582147.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-24 02:00:00,ADAUSD,0.297,0.298,0.285,0.29,10540289.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-25 02:00:00,ADAUSD,0.29,0.305,0.288,0.292,10606552.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-26 02:00:00,ADAUSD,0.292,0.292,0.277,0.281,10123243.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-27 02:00:00,ADAUSD,0.28,0.29,0.278,0.286,9627430.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-28 02:00:00,ADAUSD,0.287,0.287,0.26,0.267,16208594.59999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-29 02:00:00,ADAUSD,0.267,0.278,0.267,0.275,9239190.60000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-06-30 02:00:00,ADAUSD,0.275,0.3,0.269,0.287,27769019.5,1d,2026-01-21T19:17:26.607396
