source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2022-04-01 02:00:00,ADAUSD,1.14,1.177,1.106,1.167,19056037.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-02 02:00:00,ADAUSD,1.165,1.196,1.15,1.156,14490763.69999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-03 02:00:00,ADAUSD,1.156,1.203,1.143,1.186,12853992.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-04 02:00:00,ADAUSD,1.185,1.247,1.161,1.213,30168214.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-05 02:00:00,ADAUSD,1.212,1.219,1.162,1.171,14787420.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-06 02:00:00,ADAUSD,1.17,1.172,1.047,1.053,27758618.40000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-07 02:00:00,ADAUSD,1.054,1.101,1.039,1.09,14310352.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-08 02:00:00,ADAUSD,1.089,1.1,1.02,1.025,14030289.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-09 02:00:00,ADAUSD,1.025,1.047,1.022,1.045,12093656.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-10 02:00:00,ADAUSD,1.045,1.07,1.025,1.026,10232142.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-11 02:00:00,ADAUSD,1.027,1.033,0.918,0.92,21694681.79999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-12 02:00:00,ADAUSD,0.923,0.983,0.916,0.954,17273233.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-13 02:00:00,ADAUSD,0.955,0.98,0.935,0.974,10272222.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-14 02:00:00,ADAUSD,0.974,0.986,0.923,0.933,10195133.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-15 02:00:00,ADAUSD,0.932,0.959,0.93,0.955,8468982.20000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-16 02:00:00,ADAUSD,0.956,0.962,0.938,0.951,9427542.40000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-17 02:00:00,ADAUSD,0.952,0.962,0.913,0.915,9443309.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-18 02:00:00,ADAUSD,0.915,0.938,0.875,0.937,19242015.60000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-19 02:00:00,ADAUSD,0.937,0.957,0.927,0.953,11824071.59999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-20 02:00:00,ADAUSD,0.952,0.976,0.931,0.937,12779948.69999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-21 02:00:00,ADAUSD,0.936,0.971,0.892,0.91,12486524.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-22 02:00:00,ADAUSD,0.909,0.925,0.892,0.906,12557046.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-23 02:00:00,ADAUSD,0.906,0.912,0.882,0.887,6444087.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-24 02:00:00,ADAUSD,0.887,0.898,0.877,0.886,8859873.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-25 02:00:00,ADAUSD,0.886,0.903,0.827,0.897,30300980.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-26 02:00:00,ADAUSD,0.899,0.903,0.817,0.826,18332396.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-27 02:00:00,ADAUSD,0.826,0.857,0.819,0.841,18083629.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-28 02:00:00,ADAUSD,0.839,0.853,0.826,0.843,17011224.29999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-29 02:00:00,ADAUSD,0.844,0.85,0.79,0.805,18187902.30000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-04-30 02:00:00,ADAUSD,0.805,0.818,0.736,0.756,27956162.59999999,1d,2026-01-21T19:17:26.607396
