source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2024-06-01 02:00:00,ADAUSD,0.447,0.454,0.445,0.45,1785145.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-02 02:00:00,ADAUSD,0.45,0.454,0.441,0.447,3746155.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-03 02:00:00,ADAUSD,0.446,0.463,0.444,0.458,4255009.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-04 02:00:00,ADAUSD,0.458,0.466,0.452,0.462,4648768.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-05 02:00:00,ADAUSD,0.462,0.466,0.457,0.461,4322932.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-06 02:00:00,ADAUSD,0.462,0.462,0.451,0.458,3833041.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-07 02:00:00,ADAUSD,0.458,0.49,0.428,0.449,16732953.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-08 02:00:00,ADAUSD,0.449,0.449,0.432,0.437,6412133.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-09 02:00:00,ADAUSD,0.437,0.447,0.432,0.444,2756029.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-10 02:00:00,ADAUSD,0.444,0.451,0.435,0.441,7317158.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-11 02:00:00,ADAUSD,0.441,0.442,0.413,0.422,7409102.29999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-12 02:00:00,ADAUSD,0.422,0.445,0.414,0.438,5379427.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-13 02:00:00,ADAUSD,0.438,0.439,0.419,0.421,3855822.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-14 02:00:00,ADAUSD,0.421,0.425,0.401,0.412,6109126.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-15 02:00:00,ADAUSD,0.412,0.415,0.408,0.414,2426809.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-16 02:00:00,ADAUSD,0.414,0.419,0.409,0.417,2141029.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-17 02:00:00,ADAUSD,0.416,0.421,0.391,0.401,8768148.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-18 02:00:00,ADAUSD,0.402,0.403,0.359,0.384,14000224.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-19 02:00:00,ADAUSD,0.383,0.398,0.38,0.385,5201358.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-20 02:00:00,ADAUSD,0.385,0.397,0.378,0.385,6638772.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-21 02:00:00,ADAUSD,0.385,0.391,0.373,0.376,4883292.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-22 02:00:00,ADAUSD,0.377,0.391,0.356,0.384,10600730.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-23 02:00:00,ADAUSD,0.384,0.394,0.379,0.38,5708298.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-24 02:00:00,ADAUSD,0.38,0.382,0.363,0.378,10363066.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-25 02:00:00,ADAUSD,0.378,0.398,0.377,0.392,8500524.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-26 02:00:00,ADAUSD,0.392,0.396,0.383,0.385,6377540.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-27 02:00:00,ADAUSD,0.385,0.394,0.377,0.392,4456082.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-28 02:00:00,ADAUSD,0.392,0.397,0.385,0.385,5927978.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-29 02:00:00,ADAUSD,0.385,0.404,0.383,0.384,6659265.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-06-30 02:00:00,ADAUSD,0.384,0.394,0.378,0.392,4521525.3,1d,2026-01-21T19:17:26.607396
