source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2024-11-01 01:00:00,ADAUSD,0.341,0.362,0.335,0.357,5805478.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-02 01:00:00,ADAUSD,0.358,0.363,0.345,0.348,4855183.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-03 01:00:00,ADAUSD,0.347,0.348,0.328,0.333,4247183.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-04 01:00:00,ADAUSD,0.333,0.336,0.32,0.326,4954134.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-05 01:00:00,ADAUSD,0.326,0.338,0.326,0.334,3219962.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-06 01:00:00,ADAUSD,0.334,0.366,0.333,0.363,7699472.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-07 01:00:00,ADAUSD,0.364,0.407,0.361,0.407,12978261.39999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-08 01:00:00,ADAUSD,0.407,0.459,0.404,0.445,39061049.00000006,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-09 01:00:00,ADAUSD,0.445,0.499,0.427,0.496,14000792.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-10 01:00:00,ADAUSD,0.497,0.659,0.488,0.59,69678557.60000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-11 01:00:00,ADAUSD,0.59,0.626,0.565,0.613,27901040.00000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-12 01:00:00,ADAUSD,0.614,0.654,0.556,0.572,34389374.3999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-13 01:00:00,ADAUSD,0.571,0.611,0.519,0.579,24850946.80000005,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-14 01:00:00,ADAUSD,0.579,0.601,0.541,0.58,19946991.69999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-15 01:00:00,ADAUSD,0.579,0.707,0.576,0.707,43475919.09999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-16 01:00:00,ADAUSD,0.708,0.819,0.702,0.742,66434243.60000006,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-17 01:00:00,ADAUSD,0.742,0.778,0.69,0.702,25905241.10000005,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-18 01:00:00,ADAUSD,0.703,0.785,0.7,0.733,22454469.49999996,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-19 01:00:00,ADAUSD,0.732,0.766,0.72,0.739,19929879.50000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-20 01:00:00,ADAUSD,0.739,0.849,0.739,0.8,64586079.29999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-21 01:00:00,ADAUSD,0.799,0.824,0.767,0.822,33065011.79999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-22 01:00:00,ADAUSD,0.823,1.045,0.813,1.018,84919512.30000006,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-23 01:00:00,ADAUSD,1.018,1.153,1.017,1.067,72017877.09999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-24 01:00:00,ADAUSD,1.067,1.098,0.941,1.023,41791953.49999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-25 01:00:00,ADAUSD,1.022,1.078,0.93,0.944,28375997.30000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-26 01:00:00,ADAUSD,0.943,0.99,0.875,0.961,27365865.20000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-27 01:00:00,ADAUSD,0.961,1.042,0.933,1.013,22920826.49999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-28 01:00:00,ADAUSD,1.012,1.049,0.971,1.032,14125297.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-29 01:00:00,ADAUSD,1.033,1.1,1.028,1.076,24213162.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-11-30 01:00:00,ADAUSD,1.075,1.15,1.05,1.079,25520556.39999996,1d,2026-01-21T19:17:26.607396
