source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2022-07-01 02:00:00,ADAUSD,0.457,0.475,0.443,0.448,22766366.39999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-02 02:00:00,ADAUSD,0.449,0.461,0.441,0.455,13948976.69999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-03 02:00:00,ADAUSD,0.455,0.46,0.443,0.455,10934743.20000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-04 02:00:00,ADAUSD,0.455,0.476,0.444,0.469,25048239.89999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-05 02:00:00,ADAUSD,0.469,0.471,0.444,0.457,20241330.30000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-06 02:00:00,ADAUSD,0.457,0.464,0.447,0.462,13656337.00000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-07 02:00:00,ADAUSD,0.462,0.483,0.461,0.478,12864322.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-08 02:00:00,ADAUSD,0.478,0.496,0.46,0.466,17854388.99999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-09 02:00:00,ADAUSD,0.466,0.485,0.464,0.478,10517335.99999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-10 02:00:00,ADAUSD,0.478,0.479,0.455,0.462,8929535.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-11 02:00:00,ADAUSD,0.461,0.462,0.431,0.434,14519561.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-12 02:00:00,ADAUSD,0.434,0.442,0.416,0.417,11737842.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-13 02:00:00,ADAUSD,0.417,0.441,0.403,0.438,17609360.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-14 02:00:00,ADAUSD,0.438,0.446,0.417,0.441,12422363.59999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-15 02:00:00,ADAUSD,0.441,0.453,0.433,0.442,13969046.79999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-16 02:00:00,ADAUSD,0.442,0.459,0.432,0.458,12131047.40000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-17 02:00:00,ADAUSD,0.458,0.466,0.443,0.448,12303598.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-18 02:00:00,ADAUSD,0.447,0.5,0.446,0.49,31313722.30000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-19 02:00:00,ADAUSD,0.489,0.527,0.474,0.516,24136856.80000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-20 02:00:00,ADAUSD,0.516,0.548,0.488,0.491,28912726.59999993,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-21 02:00:00,ADAUSD,0.491,0.502,0.476,0.5,14178902.90000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-22 02:00:00,ADAUSD,0.499,0.511,0.477,0.483,10615979.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-23 02:00:00,ADAUSD,0.483,0.519,0.474,0.517,13070853.29999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-24 02:00:00,ADAUSD,0.518,0.537,0.51,0.512,18406655.89999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-25 02:00:00,ADAUSD,0.512,0.515,0.474,0.475,11010716.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-26 02:00:00,ADAUSD,0.474,0.477,0.451,0.468,12894010.90000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-27 02:00:00,ADAUSD,0.469,0.512,0.459,0.511,16267952.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-28 02:00:00,ADAUSD,0.512,0.525,0.49,0.513,19412847.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-29 02:00:00,ADAUSD,0.513,0.545,0.507,0.522,26542597.69999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-30 02:00:00,ADAUSD,0.523,0.556,0.51,0.526,20234249.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-07-31 02:00:00,ADAUSD,0.526,0.544,0.513,0.517,11749876.69999999,1d,2026-01-21T19:17:26.607396
