source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2022-11-01 01:00:00,ADAUSD,0.405,0.415,0.398,0.401,13434489.89999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-02 01:00:00,ADAUSD,0.401,0.409,0.38,0.386,21085767.39999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-03 01:00:00,ADAUSD,0.385,0.399,0.384,0.39,10029401.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-04 01:00:00,ADAUSD,0.39,0.426,0.388,0.422,28886666.79999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-05 01:00:00,ADAUSD,0.422,0.438,0.42,0.426,26349010.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-06 01:00:00,ADAUSD,0.427,0.431,0.402,0.402,18282886.40000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-07 01:00:00,ADAUSD,0.402,0.416,0.398,0.404,17437202.20000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-08 01:00:00,ADAUSD,0.404,0.417,0.345,0.372,41561559.20000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-09 01:00:00,ADAUSD,0.373,0.376,0.309,0.317,51792932.80000006,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-10 01:00:00,ADAUSD,0.316,0.378,0.311,0.368,52262344.59999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-11 01:00:00,ADAUSD,0.368,0.373,0.34,0.354,23445301.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-12 01:00:00,ADAUSD,0.354,0.355,0.336,0.339,18327294.69999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-13 01:00:00,ADAUSD,0.339,0.345,0.325,0.329,20991863.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-14 01:00:00,ADAUSD,0.329,0.342,0.314,0.332,25901509.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-15 01:00:00,ADAUSD,0.332,0.344,0.329,0.337,15206293.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-16 01:00:00,ADAUSD,0.337,0.344,0.324,0.332,12895605.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-17 01:00:00,ADAUSD,0.332,0.334,0.298,0.325,18894849.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-18 01:00:00,ADAUSD,0.325,0.332,0.32,0.326,17965849.10000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-19 01:00:00,ADAUSD,0.325,0.332,0.321,0.328,8632505.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-20 01:00:00,ADAUSD,0.327,0.331,0.309,0.312,11177446.59999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-21 01:00:00,ADAUSD,0.312,0.313,0.296,0.304,19584940.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-22 01:00:00,ADAUSD,0.304,0.316,0.298,0.312,14460245.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-23 01:00:00,ADAUSD,0.312,0.32,0.309,0.318,15247465.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-24 01:00:00,ADAUSD,0.318,0.321,0.311,0.316,12179972.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-25 01:00:00,ADAUSD,0.316,0.317,0.307,0.314,10375970.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-26 01:00:00,ADAUSD,0.315,0.322,0.312,0.314,11745607.59999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-27 01:00:00,ADAUSD,0.314,0.319,0.311,0.313,6844316.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-28 01:00:00,ADAUSD,0.312,0.314,0.3,0.306,14561503.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-29 01:00:00,ADAUSD,0.306,0.312,0.304,0.309,9119606.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-11-30 01:00:00,ADAUSD,0.309,0.321,0.308,0.319,14066797.0,1d,2026-01-21T19:17:26.607396
