source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2025-05-01 02:00:00,ADAUSD,0.682,0.714,0.682,0.704,2857208.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-02 02:00:00,ADAUSD,0.705,0.726,0.689,0.698,4590528.10000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-03 02:00:00,ADAUSD,0.699,0.73,0.692,0.7,7523533.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-04 02:00:00,ADAUSD,0.699,0.715,0.673,0.677,4311666.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-05 02:00:00,ADAUSD,0.677,0.691,0.654,0.663,3782386.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-06 02:00:00,ADAUSD,0.664,0.681,0.642,0.678,3646000.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-07 02:00:00,ADAUSD,0.679,0.689,0.656,0.672,3558865.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-08 02:00:00,ADAUSD,0.672,0.77,0.67,0.769,7054001.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-09 02:00:00,ADAUSD,0.768,0.817,0.755,0.776,7753822.49999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-10 02:00:00,ADAUSD,0.777,0.842,0.77,0.84,7401039.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-11 02:00:00,ADAUSD,0.84,0.846,0.781,0.805,4253323.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-12 02:00:00,ADAUSD,0.806,0.864,0.78,0.817,7599786.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-13 02:00:00,ADAUSD,0.817,0.842,0.773,0.829,4045701.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-14 02:00:00,ADAUSD,0.829,0.833,0.789,0.799,4359097.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-15 02:00:00,ADAUSD,0.799,0.81,0.744,0.762,4697897.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-16 02:00:00,ADAUSD,0.762,0.786,0.75,0.759,2813563.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-17 02:00:00,ADAUSD,0.758,0.782,0.727,0.743,5163547.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-18 02:00:00,ADAUSD,0.743,0.776,0.718,0.76,4078472.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-19 02:00:00,ADAUSD,0.761,0.765,0.711,0.744,2352525.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-20 02:00:00,ADAUSD,0.743,0.753,0.722,0.745,3742457.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-21 02:00:00,ADAUSD,0.747,0.783,0.737,0.77,4121935.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-22 02:00:00,ADAUSD,0.77,0.811,0.768,0.809,3304258.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-23 02:00:00,ADAUSD,0.809,0.841,0.743,0.747,5942324.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-24 02:00:00,ADAUSD,0.746,0.767,0.741,0.748,1767121.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-25 02:00:00,ADAUSD,0.747,0.761,0.728,0.76,2366028.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-26 02:00:00,ADAUSD,0.76,0.777,0.752,0.76,2165880.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-27 02:00:00,ADAUSD,0.761,0.776,0.744,0.758,2232175.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-28 02:00:00,ADAUSD,0.759,0.761,0.732,0.748,1773912.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-29 02:00:00,ADAUSD,0.748,0.765,0.719,0.722,3062531.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-30 02:00:00,ADAUSD,0.722,0.727,0.683,0.689,5152602.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-05-31 02:00:00,ADAUSD,0.69,0.695,0.657,0.685,4220925.4,1d,2026-01-21T19:17:26.607396
