source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2025-12-01 01:00:00,ADAUSD,0.415,0.416,0.371,0.386,5088077.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-02 01:00:00,ADAUSD,0.386,0.439,0.385,0.434,3195904.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-03 01:00:00,ADAUSD,0.435,0.454,0.427,0.45,4275173.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-04 01:00:00,ADAUSD,0.45,0.455,0.435,0.439,1844028.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-05 01:00:00,ADAUSD,0.441,0.443,0.409,0.416,2226967.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-06 01:00:00,ADAUSD,0.415,0.421,0.41,0.413,601666.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-07 01:00:00,ADAUSD,0.414,0.436,0.406,0.418,1612551.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-08 01:00:00,ADAUSD,0.416,0.441,0.415,0.432,1499856.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-09 01:00:00,ADAUSD,0.432,0.484,0.424,0.47,5063632.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-10 01:00:00,ADAUSD,0.471,0.476,0.453,0.454,3056598.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-11 01:00:00,ADAUSD,0.454,0.455,0.41,0.426,4378123.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-12 01:00:00,ADAUSD,0.426,0.43,0.404,0.409,1735408.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-13 01:00:00,ADAUSD,0.41,0.415,0.405,0.411,1514305.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-14 01:00:00,ADAUSD,0.411,0.412,0.392,0.397,1196045.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-15 01:00:00,ADAUSD,0.398,0.408,0.378,0.388,3987878.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-16 01:00:00,ADAUSD,0.389,0.391,0.378,0.387,2238117.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-17 01:00:00,ADAUSD,0.385,0.401,0.365,0.367,1813462.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-18 01:00:00,ADAUSD,0.368,0.378,0.347,0.351,3217890.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-19 01:00:00,ADAUSD,0.351,0.38,0.347,0.377,1707424.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-20 01:00:00,ADAUSD,0.376,0.38,0.372,0.374,577146.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-21 01:00:00,ADAUSD,0.373,0.374,0.358,0.366,1144251.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-22 01:00:00,ADAUSD,0.367,0.381,0.363,0.371,2376974.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-23 01:00:00,ADAUSD,0.37,0.373,0.356,0.362,1329970.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-24 01:00:00,ADAUSD,0.362,0.365,0.352,0.357,1128001.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-25 01:00:00,ADAUSD,0.356,0.361,0.341,0.344,1617733.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-26 01:00:00,ADAUSD,0.344,0.358,0.342,0.349,1815183.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-27 01:00:00,ADAUSD,0.349,0.37,0.349,0.37,1318572.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-28 01:00:00,ADAUSD,0.369,0.376,0.361,0.369,1983768.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-29 01:00:00,ADAUSD,0.369,0.385,0.35,0.353,1955410.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-30 01:00:00,ADAUSD,0.354,0.356,0.348,0.352,1248902.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-12-31 01:00:00,ADAUSD,0.351,0.354,0.329,0.334,2246837.1,1d,2026-01-21T19:17:26.607396
