source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2025-11-01 01:00:00,ADAUSD,0.61,0.617,0.603,0.613,2179748.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-02 01:00:00,ADAUSD,0.613,0.619,0.593,0.61,973310.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-03 01:00:00,ADAUSD,0.61,0.611,0.528,0.553,7523596.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-04 01:00:00,ADAUSD,0.553,0.563,0.49,0.522,11179416.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-05 01:00:00,ADAUSD,0.521,0.55,0.495,0.545,2897370.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-06 01:00:00,ADAUSD,0.544,0.546,0.517,0.532,2312854.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-07 01:00:00,ADAUSD,0.532,0.586,0.519,0.576,8453786.60000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-08 01:00:00,ADAUSD,0.576,0.593,0.554,0.569,1673868.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-09 01:00:00,ADAUSD,0.569,0.584,0.547,0.578,1388548.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-10 01:00:00,ADAUSD,0.575,0.602,0.574,0.594,2483434.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-11 01:00:00,ADAUSD,0.593,0.605,0.555,0.557,2521708.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-12 01:00:00,ADAUSD,0.557,0.581,0.539,0.545,1717773.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-13 01:00:00,ADAUSD,0.545,0.571,0.515,0.529,2328213.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-14 01:00:00,ADAUSD,0.528,0.533,0.492,0.498,2712331.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-15 01:00:00,ADAUSD,0.499,0.515,0.499,0.504,1362030.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-16 01:00:00,ADAUSD,0.503,0.509,0.475,0.486,4685066.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-17 01:00:00,ADAUSD,0.485,0.499,0.458,0.467,4911522.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-18 01:00:00,ADAUSD,0.466,0.483,0.457,0.475,3301856.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-19 01:00:00,ADAUSD,0.473,0.477,0.438,0.463,3778808.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-20 01:00:00,ADAUSD,0.463,0.47,0.429,0.432,2630285.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-21 01:00:00,ADAUSD,0.433,0.439,0.387,0.409,12686596.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-22 01:00:00,ADAUSD,0.409,0.413,0.391,0.405,2158048.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-23 01:00:00,ADAUSD,0.405,0.418,0.402,0.409,2451164.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-24 01:00:00,ADAUSD,0.409,0.434,0.403,0.428,4626574.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-25 01:00:00,ADAUSD,0.428,0.429,0.404,0.422,2479499.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-26 01:00:00,ADAUSD,0.422,0.437,0.41,0.436,2414756.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-27 01:00:00,ADAUSD,0.436,0.439,0.426,0.433,2074400.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-28 01:00:00,ADAUSD,0.433,0.436,0.415,0.42,2767593.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-29 01:00:00,ADAUSD,0.421,0.421,0.412,0.415,1042886.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-11-30 01:00:00,ADAUSD,0.415,0.428,0.414,0.415,1217873.6,1d,2026-01-21T19:17:26.607396
