source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2023-12-01 01:00:00,ADAUSD,0.376,0.386,0.374,0.384,5382922.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-02 01:00:00,ADAUSD,0.385,0.398,0.383,0.398,5088843.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-03 01:00:00,ADAUSD,0.398,0.403,0.388,0.395,4845878.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-04 01:00:00,ADAUSD,0.395,0.415,0.392,0.407,12078641.89999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-05 01:00:00,ADAUSD,0.406,0.426,0.397,0.426,11621818.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-06 01:00:00,ADAUSD,0.426,0.456,0.417,0.443,27398730.49999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-07 01:00:00,ADAUSD,0.443,0.46,0.431,0.456,16175025.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-08 01:00:00,ADAUSD,0.456,0.573,0.452,0.546,53975864.09999989,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-09 01:00:00,ADAUSD,0.546,0.647,0.544,0.579,76280888.60000005,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-10 01:00:00,ADAUSD,0.579,0.615,0.57,0.595,31520177.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-11 01:00:00,ADAUSD,0.595,0.598,0.523,0.551,29735286.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-12 01:00:00,ADAUSD,0.551,0.607,0.551,0.578,28563143.50000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-13 01:00:00,ADAUSD,0.578,0.679,0.543,0.668,45091301.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-14 01:00:00,ADAUSD,0.669,0.68,0.614,0.644,30055216.49999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-15 01:00:00,ADAUSD,0.644,0.654,0.6,0.601,20210481.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-16 01:00:00,ADAUSD,0.601,0.626,0.587,0.608,10698922.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-17 01:00:00,ADAUSD,0.608,0.618,0.576,0.581,14594803.30000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-18 01:00:00,ADAUSD,0.581,0.604,0.544,0.602,15380204.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-19 01:00:00,ADAUSD,0.602,0.617,0.567,0.576,9887952.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-20 01:00:00,ADAUSD,0.576,0.61,0.569,0.59,11316058.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-21 01:00:00,ADAUSD,0.589,0.64,0.582,0.635,15723362.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-22 01:00:00,ADAUSD,0.635,0.651,0.606,0.623,21389881.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-23 01:00:00,ADAUSD,0.623,0.623,0.598,0.613,7560986.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-24 01:00:00,ADAUSD,0.613,0.629,0.59,0.593,15881463.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-25 01:00:00,ADAUSD,0.591,0.636,0.59,0.625,11808420.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-26 01:00:00,ADAUSD,0.625,0.628,0.563,0.609,12761906.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-27 01:00:00,ADAUSD,0.609,0.643,0.585,0.634,12676842.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-28 01:00:00,ADAUSD,0.634,0.678,0.61,0.616,23629133.50000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-29 01:00:00,ADAUSD,0.617,0.626,0.594,0.609,10766554.00000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-30 01:00:00,ADAUSD,0.608,0.613,0.593,0.601,6438356.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-12-31 01:00:00,ADAUSD,0.601,0.61,0.581,0.594,5971761.3,1d,2026-01-21T19:17:26.607396
