source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2025-03-01 01:00:00,ADAUSD,0.632,0.678,0.626,0.66,4904959.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-02 01:00:00,ADAUSD,0.659,1.154,0.645,1.136,96290182.20000018,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-03 01:00:00,ADAUSD,1.137,1.175,0.825,0.857,51524549.50000006,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-04 01:00:00,ADAUSD,0.856,0.956,0.76,0.942,30439548.29999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-05 01:00:00,ADAUSD,0.94,1.027,0.915,0.975,19915242.10000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-06 01:00:00,ADAUSD,0.975,0.987,0.885,0.907,11230286.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-07 01:00:00,ADAUSD,0.907,0.921,0.808,0.818,25942211.19999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-08 01:00:00,ADAUSD,0.818,0.839,0.794,0.805,6629764.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-09 01:00:00,ADAUSD,0.805,0.818,0.71,0.721,12383289.00000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-10 01:00:00,ADAUSD,0.723,0.776,0.659,0.671,12213695.39999997,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-11 01:00:00,ADAUSD,0.673,0.745,0.65,0.724,12042890.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-12 01:00:00,ADAUSD,0.725,0.766,0.711,0.736,6630003.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-13 01:00:00,ADAUSD,0.736,0.74,0.691,0.703,6640549.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-14 01:00:00,ADAUSD,0.702,0.751,0.697,0.737,4752911.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-15 01:00:00,ADAUSD,0.738,0.76,0.731,0.748,3157779.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-16 01:00:00,ADAUSD,0.747,0.748,0.697,0.706,3025505.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-17 01:00:00,ADAUSD,0.706,0.731,0.703,0.718,2883326.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-18 01:00:00,ADAUSD,0.718,0.719,0.682,0.703,1929936.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-19 01:00:00,ADAUSD,0.701,0.747,0.701,0.745,5331021.69999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-20 01:00:00,ADAUSD,0.746,0.756,0.713,0.717,3690431.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-21 01:00:00,ADAUSD,0.717,0.726,0.701,0.704,2544978.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-22 01:00:00,ADAUSD,0.705,0.717,0.698,0.702,1731008.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-23 01:00:00,ADAUSD,0.702,0.716,0.692,0.71,2363814.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-24 01:00:00,ADAUSD,0.711,0.746,0.706,0.732,3054591.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-25 01:00:00,ADAUSD,0.732,0.767,0.721,0.745,4787588.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-26 01:00:00,ADAUSD,0.746,0.774,0.72,0.73,4503464.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-27 01:00:00,ADAUSD,0.729,0.745,0.722,0.738,2034617.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-28 01:00:00,ADAUSD,0.739,0.746,0.69,0.706,3526345.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-29 01:00:00,ADAUSD,0.706,0.712,0.66,0.674,4645887.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-30 01:00:00,ADAUSD,0.673,0.687,0.651,0.662,2837285.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-03-31 02:00:00,ADAUSD,0.662,0.665,0.63,0.662,3425499.90000001,1d,2026-01-21T19:17:26.607396
