source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2024-10-01 02:00:00,ADAUSD,0.374,0.386,0.342,0.352,9555099.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-02 02:00:00,ADAUSD,0.352,0.363,0.336,0.343,4913002.49999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-03 02:00:00,ADAUSD,0.343,0.35,0.332,0.345,3337236.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-04 02:00:00,ADAUSD,0.345,0.356,0.343,0.351,2545178.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-05 02:00:00,ADAUSD,0.352,0.356,0.345,0.351,3237965.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-06 02:00:00,ADAUSD,0.351,0.359,0.348,0.358,1314821.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-07 02:00:00,ADAUSD,0.358,0.368,0.35,0.351,3359871.29999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-08 02:00:00,ADAUSD,0.352,0.357,0.341,0.344,2937889.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-09 02:00:00,ADAUSD,0.344,0.348,0.334,0.339,4027651.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-10 02:00:00,ADAUSD,0.339,0.342,0.331,0.339,2479774.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-11 02:00:00,ADAUSD,0.339,0.355,0.338,0.352,2284576.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-12 02:00:00,ADAUSD,0.352,0.357,0.351,0.353,1283079.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-13 02:00:00,ADAUSD,0.354,0.36,0.344,0.349,2277274.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-14 02:00:00,ADAUSD,0.348,0.366,0.343,0.363,3876791.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-15 02:00:00,ADAUSD,0.365,0.37,0.348,0.358,4782544.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-16 02:00:00,ADAUSD,0.359,0.361,0.351,0.352,4963263.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-17 02:00:00,ADAUSD,0.352,0.355,0.339,0.343,5631890.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-18 02:00:00,ADAUSD,0.342,0.353,0.342,0.35,3015008.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-19 02:00:00,ADAUSD,0.351,0.357,0.349,0.351,2985634.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-20 02:00:00,ADAUSD,0.351,0.366,0.348,0.365,3047681.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-21 02:00:00,ADAUSD,0.365,0.373,0.353,0.361,5261425.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-22 02:00:00,ADAUSD,0.36,0.368,0.355,0.365,4610054.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-23 02:00:00,ADAUSD,0.365,0.369,0.342,0.349,3968160.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-24 02:00:00,ADAUSD,0.349,0.355,0.339,0.346,5822785.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-25 02:00:00,ADAUSD,0.347,0.347,0.315,0.326,9263175.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-26 02:00:00,ADAUSD,0.325,0.335,0.32,0.333,3655894.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-27 02:00:00,ADAUSD,0.333,0.342,0.33,0.34,1627486.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-28 01:00:00,ADAUSD,0.34,0.348,0.33,0.343,5484368.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-29 01:00:00,ADAUSD,0.344,0.357,0.343,0.356,7357684.20000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-30 01:00:00,ADAUSD,0.357,0.364,0.35,0.355,4245169.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-10-31 01:00:00,ADAUSD,0.355,0.362,0.339,0.341,5743823.0,1d,2026-01-21T19:17:26.607396
