source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2023-05-01 02:00:00,ADAUSD,0.396,0.398,0.38,0.387,9846484.40000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-02 02:00:00,ADAUSD,0.387,0.395,0.382,0.392,5572801.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-03 02:00:00,ADAUSD,0.392,0.397,0.378,0.394,9270909.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-04 02:00:00,ADAUSD,0.395,0.397,0.385,0.388,7086033.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-05 02:00:00,ADAUSD,0.388,0.397,0.384,0.395,7506514.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-06 02:00:00,ADAUSD,0.395,0.397,0.375,0.381,6669391.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-07 02:00:00,ADAUSD,0.381,0.384,0.376,0.378,3308631.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-08 02:00:00,ADAUSD,0.377,0.382,0.355,0.367,12067826.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-09 02:00:00,ADAUSD,0.367,0.372,0.361,0.364,6243743.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-10 02:00:00,ADAUSD,0.363,0.373,0.355,0.37,13715375.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-11 02:00:00,ADAUSD,0.37,0.37,0.349,0.36,9982529.69999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-12 02:00:00,ADAUSD,0.36,0.371,0.354,0.371,11034461.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-13 02:00:00,ADAUSD,0.371,0.371,0.363,0.365,4186379.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-14 02:00:00,ADAUSD,0.365,0.373,0.363,0.371,3684896.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-15 02:00:00,ADAUSD,0.371,0.376,0.367,0.367,4797683.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-16 02:00:00,ADAUSD,0.367,0.371,0.362,0.368,3792803.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-17 02:00:00,ADAUSD,0.369,0.381,0.365,0.376,7379600.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-18 02:00:00,ADAUSD,0.376,0.38,0.366,0.371,6414939.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-19 02:00:00,ADAUSD,0.372,0.373,0.366,0.368,5487793.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-20 02:00:00,ADAUSD,0.368,0.368,0.364,0.366,4131823.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-21 02:00:00,ADAUSD,0.366,0.368,0.358,0.36,3870802.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-22 02:00:00,ADAUSD,0.36,0.374,0.356,0.368,9863349.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-23 02:00:00,ADAUSD,0.368,0.376,0.366,0.37,5125166.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-24 02:00:00,ADAUSD,0.37,0.371,0.36,0.364,7713377.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-25 02:00:00,ADAUSD,0.364,0.365,0.355,0.358,7152031.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-26 02:00:00,ADAUSD,0.358,0.367,0.354,0.363,7842527.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-27 02:00:00,ADAUSD,0.363,0.368,0.361,0.367,3853370.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-28 02:00:00,ADAUSD,0.367,0.384,0.366,0.383,10087412.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-29 02:00:00,ADAUSD,0.383,0.386,0.376,0.379,5776599.39999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-30 02:00:00,ADAUSD,0.379,0.384,0.375,0.378,4101078.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-05-31 02:00:00,ADAUSD,0.378,0.381,0.37,0.375,7698368.3,1d,2026-01-21T19:17:26.607396
