source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2024-09-01 02:00:00,ADAUSD,0.345,0.346,0.327,0.332,4688678.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-02 02:00:00,ADAUSD,0.331,0.338,0.325,0.336,4264514.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-03 02:00:00,ADAUSD,0.337,0.34,0.317,0.318,3355517.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-04 02:00:00,ADAUSD,0.319,0.329,0.306,0.323,5806759.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-05 02:00:00,ADAUSD,0.323,0.34,0.319,0.325,11149492.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-06 02:00:00,ADAUSD,0.325,0.332,0.303,0.315,8040209.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-07 02:00:00,ADAUSD,0.315,0.328,0.315,0.326,4501669.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-08 02:00:00,ADAUSD,0.325,0.341,0.324,0.339,5159912.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-09 02:00:00,ADAUSD,0.339,0.349,0.338,0.343,5784100.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-10 02:00:00,ADAUSD,0.343,0.345,0.338,0.344,2642250.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-11 02:00:00,ADAUSD,0.343,0.358,0.33,0.353,4689900.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-12 02:00:00,ADAUSD,0.354,0.362,0.352,0.357,7751293.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-13 02:00:00,ADAUSD,0.357,0.366,0.35,0.361,3373462.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-14 02:00:00,ADAUSD,0.361,0.362,0.352,0.354,2579759.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-15 02:00:00,ADAUSD,0.354,0.356,0.335,0.339,3725340.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-16 02:00:00,ADAUSD,0.338,0.338,0.326,0.331,3660898.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-17 02:00:00,ADAUSD,0.331,0.344,0.328,0.334,5254708.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-18 02:00:00,ADAUSD,0.334,0.344,0.327,0.344,4381684.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-19 02:00:00,ADAUSD,0.344,0.357,0.344,0.351,6831282.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-20 02:00:00,ADAUSD,0.352,0.362,0.349,0.353,3117726.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-21 02:00:00,ADAUSD,0.352,0.36,0.351,0.358,2331069.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-22 02:00:00,ADAUSD,0.359,0.36,0.343,0.352,2851559.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-23 02:00:00,ADAUSD,0.352,0.366,0.345,0.364,4719975.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-24 02:00:00,ADAUSD,0.364,0.392,0.359,0.388,7409352.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-25 02:00:00,ADAUSD,0.388,0.394,0.379,0.382,4342069.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-26 02:00:00,ADAUSD,0.381,0.404,0.378,0.402,4847437.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-27 02:00:00,ADAUSD,0.402,0.416,0.4,0.402,4622548.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-28 02:00:00,ADAUSD,0.402,0.406,0.393,0.401,3131195.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-29 02:00:00,ADAUSD,0.4,0.404,0.393,0.398,2405767.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-09-30 02:00:00,ADAUSD,0.398,0.398,0.371,0.374,4061519.3,1d,2026-01-21T19:17:26.607396
