source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2025-02-01 01:00:00,ADAUSD,0.943,0.957,0.889,0.895,2256317.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-02 01:00:00,ADAUSD,0.895,0.91,0.754,0.805,11377015.10000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-03 01:00:00,ADAUSD,0.805,0.825,0.512,0.813,57450633.49999989,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-04 01:00:00,ADAUSD,0.813,0.82,0.716,0.744,11017412.59999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-05 01:00:00,ADAUSD,0.743,0.776,0.726,0.732,5065233.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-06 01:00:00,ADAUSD,0.733,0.766,0.699,0.705,4818951.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-07 01:00:00,ADAUSD,0.705,0.752,0.69,0.708,7770031.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-08 01:00:00,ADAUSD,0.707,0.717,0.682,0.701,4263187.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-09 01:00:00,ADAUSD,0.702,0.716,0.651,0.681,4886686.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-10 01:00:00,ADAUSD,0.682,0.725,0.664,0.713,5293077.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-11 01:00:00,ADAUSD,0.713,0.821,0.71,0.778,19963132.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-12 01:00:00,ADAUSD,0.778,0.808,0.749,0.8,11515855.10000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-13 01:00:00,ADAUSD,0.799,0.831,0.77,0.811,4148176.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-14 01:00:00,ADAUSD,0.813,0.829,0.79,0.799,3508101.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-15 01:00:00,ADAUSD,0.799,0.814,0.775,0.781,2869719.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-16 01:00:00,ADAUSD,0.781,0.789,0.762,0.773,2851129.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-17 01:00:00,ADAUSD,0.773,0.83,0.771,0.81,7324233.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-18 01:00:00,ADAUSD,0.811,0.814,0.735,0.754,5518195.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-19 01:00:00,ADAUSD,0.754,0.776,0.733,0.773,3093427.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-20 01:00:00,ADAUSD,0.774,0.812,0.771,0.804,2765702.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-21 01:00:00,ADAUSD,0.805,0.819,0.75,0.762,4781598.29999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-22 01:00:00,ADAUSD,0.763,0.784,0.757,0.774,2105180.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-23 01:00:00,ADAUSD,0.774,0.789,0.76,0.77,3283394.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-24 01:00:00,ADAUSD,0.77,0.777,0.671,0.683,7029567.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-25 01:00:00,ADAUSD,0.684,0.696,0.631,0.683,7328510.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-26 01:00:00,ADAUSD,0.682,0.695,0.633,0.647,4823865.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-27 01:00:00,ADAUSD,0.648,0.68,0.626,0.646,3757455.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2025-02-28 01:00:00,ADAUSD,0.645,0.646,0.581,0.633,7170126.2,1d,2026-01-21T19:17:26.607396
