source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2022-01-01 01:00:00,ADAUSD,1.309,1.39,1.292,1.379,18494038.77318936,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-02 01:00:00,ADAUSD,1.379,1.397,1.331,1.378,20518573.40135544,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-03 01:00:00,ADAUSD,1.377,1.386,1.297,1.32,21421582.68189763,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-04 01:00:00,ADAUSD,1.318,1.368,1.281,1.309,26297374.16171604,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-05 01:00:00,ADAUSD,1.311,1.367,1.187,1.229,31559218.63682442,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-06 01:00:00,ADAUSD,1.232,1.313,1.181,1.281,40062506.87941114,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-07 01:00:00,ADAUSD,1.279,1.287,1.172,1.209,42896834.12962484,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-08 01:00:00,ADAUSD,1.212,1.259,1.071,1.181,44229094.30875567,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-09 01:00:00,ADAUSD,1.182,1.225,1.142,1.17,32317772.8117791,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-10 01:00:00,ADAUSD,1.171,1.187,1.071,1.124,36162728.40749137,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-11 01:00:00,ADAUSD,1.123,1.209,1.108,1.188,27837210.91141838,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-12 01:00:00,ADAUSD,1.189,1.325,1.18,1.313,39430218.62463942,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-13 01:00:00,ADAUSD,1.312,1.375,1.222,1.233,43822215.91632537,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-14 01:00:00,ADAUSD,1.232,1.312,1.223,1.26,23331907.8356009,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-15 01:00:00,ADAUSD,1.292,1.318,1.252,1.292,21044694.39999995,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-16 01:00:00,ADAUSD,1.292,1.424,1.288,1.412,67130557.90000004,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-17 01:00:00,ADAUSD,1.412,1.606,1.387,1.603,134545858.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-18 01:00:00,ADAUSD,1.605,1.639,1.411,1.459,107091697.40000007,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-19 01:00:00,ADAUSD,1.46,1.534,1.327,1.338,85925415.80000019,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-20 01:00:00,ADAUSD,1.339,1.428,1.251,1.26,62829399.59999991,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-21 01:00:00,ADAUSD,1.259,1.282,1.101,1.121,83488472.10000005,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-22 01:00:00,ADAUSD,1.123,1.155,0.921,1.07,145181159.40000007,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-23 01:00:00,ADAUSD,1.071,1.171,1.051,1.126,81529902.39999989,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-24 01:00:00,ADAUSD,1.126,1.126,0.955,1.067,94730591.40000011,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-25 01:00:00,ADAUSD,1.065,1.075,0.993,1.043,44406234.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-26 01:00:00,ADAUSD,1.043,1.151,1.024,1.078,52878480.70000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-27 01:00:00,ADAUSD,1.078,1.081,1.004,1.044,35392862.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-28 01:00:00,ADAUSD,1.044,1.06,1.009,1.049,26044062.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-29 01:00:00,ADAUSD,1.048,1.084,1.039,1.06,19288101.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-30 01:00:00,ADAUSD,1.06,1.078,1.026,1.036,15642250.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2022-01-31 01:00:00,ADAUSD,1.036,1.06,1.01,1.052,20349758.70000003,1d,2026-01-21T19:17:26.607396
