source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2023-07-01 02:00:00,ADAUSD,0.287,0.294,0.282,0.292,10039970.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-02 02:00:00,ADAUSD,0.293,0.294,0.286,0.292,7254956.79999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-03 02:00:00,ADAUSD,0.292,0.3,0.291,0.297,8905796.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-04 02:00:00,ADAUSD,0.296,0.302,0.29,0.292,8622060.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-05 02:00:00,ADAUSD,0.292,0.296,0.28,0.284,7811501.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-06 02:00:00,ADAUSD,0.284,0.294,0.276,0.279,11579740.29999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-07 02:00:00,ADAUSD,0.279,0.286,0.277,0.285,6676599.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-08 02:00:00,ADAUSD,0.285,0.293,0.282,0.291,9307016.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-09 02:00:00,ADAUSD,0.291,0.292,0.283,0.285,6008885.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-10 02:00:00,ADAUSD,0.285,0.293,0.279,0.288,9173423.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-11 02:00:00,ADAUSD,0.288,0.294,0.288,0.293,7625586.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-12 02:00:00,ADAUSD,0.293,0.295,0.285,0.289,5855462.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-13 02:00:00,ADAUSD,0.289,0.367,0.286,0.357,48990913.40000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-14 02:00:00,ADAUSD,0.357,0.379,0.317,0.328,42486355.00000011,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-15 02:00:00,ADAUSD,0.328,0.337,0.324,0.326,13606441.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-16 02:00:00,ADAUSD,0.326,0.328,0.313,0.315,15738805.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-17 02:00:00,ADAUSD,0.315,0.32,0.306,0.312,13339610.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-18 02:00:00,ADAUSD,0.312,0.314,0.3,0.31,12300185.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-19 02:00:00,ADAUSD,0.31,0.326,0.307,0.323,26316168.79999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-20 02:00:00,ADAUSD,0.323,0.333,0.313,0.316,32670220.69999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-21 02:00:00,ADAUSD,0.316,0.318,0.311,0.313,26951538.29999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-22 02:00:00,ADAUSD,0.313,0.315,0.306,0.31,15457016.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-23 02:00:00,ADAUSD,0.31,0.319,0.307,0.317,4876224.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-24 02:00:00,ADAUSD,0.317,0.319,0.3,0.305,11073818.80000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-25 02:00:00,ADAUSD,0.305,0.308,0.302,0.304,6045397.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-26 02:00:00,ADAUSD,0.304,0.311,0.3,0.307,6289238.8,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-27 02:00:00,ADAUSD,0.307,0.313,0.306,0.308,6766203.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-28 02:00:00,ADAUSD,0.308,0.313,0.306,0.31,4704016.1,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-29 02:00:00,ADAUSD,0.31,0.315,0.309,0.313,5619628.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-30 02:00:00,ADAUSD,0.313,0.318,0.306,0.315,6232970.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2023-07-31 02:00:00,ADAUSD,0.316,0.319,0.306,0.307,6904930.3,1d,2026-01-21T19:17:26.607396
